 65K	TEMP.ISPEC_210602014403_SPEC_L7
 65K	TEMP.ISPEC_210602014405_SPEC_L4
 65K	TEMP.ISPEC_210602024347_SPEC_LT6
 65K	TEMP.ISPEC_210602024402_SPEC_L3
 65K	TEMP.ISPEC_210602024412_SPEC_L7
1.4M	TEMP.ISPEC_210602024759_SPEC_F8
 65K	TEMP.ISPEC_210602025958_SPEC_F8B
 65K	TEMP.ISPEC_210602030000_SPEC_L2
 65K	TEMP.ISPEC_210602030017_SPEC_FT6
 65K	TEMP.ISPEC_210602030023_SPEC_L1
 65K	TEMP.ISPEC_210602034353_SPEC_L4
 65K	TEMP.ISPEC_210602034356_SPEC_LT6
 65K	TEMP.ISPEC_210602034405_SPEC_L7
114K	TEMP.ISPEC_210602035628_SPEC_T1
 65K	TEMP.ISPEC_210602040004_SPEC_FT6
 65K	TEMP.ISPEC_210602040011_SPEC_L2
 65K	TEMP.ISPEC_210602040016_SPEC_L1
114K	TEMP.ISPEC_210602051250_SPEC_TT6
746K	TEMP.ISPEC_210602051313_SPEC_T3
2.3M	TEMP.ISPEC_210602052001_SPEC_T6
 65K	TEMP.ISPEC_210602052513_SPEC_T7
 65K	TEMP.ISPEC_210602060159_SPEC_L2
 65K	TEMP.ISPEC_210602060244_SPEC_F8B
 12M	TEMP.ISPEC_210602061318_SPEC_T8
 65K	TEMP.ISPEC_210602064402_SPEC_L7
 65K	TEMP.ISPEC_210602064408_SPEC_L4
 65K	TEMP.ISPEC_210602074100_SPEC_F6
 65K	TEMP.ISPEC_210602074114_SPEC_F3
498K	TEMP.ISPEC_210602074340_SPEC_L8
 65K	TEMP.ISPEC_210602074756_SPEC_L5
2.0M	TEMP.ISPEC_210602074814_SPEC_F8
 65K	TEMP.ISPEC_210602075633_SPEC_T2
 65K	TEMP.ISPEC_210602075957_SPEC_FT6
258K	TEMP.ISPEC_210602080023_SPEC_L1
 65K	TEMP.ISPEC_210602083745_SPEC_F1
258K	TEMP.ISPEC_210602085844_SPEC_T1
 65K	TEMP.ISPEC_210602090126_SPEC_L2
 65K	TEMP.ISPEC_210602090155_SPEC_FT6
 65K	TEMP.ISPEC_210602100001_SPEC_FT6
 65K	TEMP.ISPEC_210602100003_SPEC_L2
 65K	TEMP.ISPEC_210602100009_SPEC_L1
186K	TEMP.ISPEC_210602104751_SPEC_L5
 65K	TEMP.ISPEC_210602110013_SPEC_L2
 65K	TEMP.ISPEC_210602111245_SPEC_TT6
 34M	TEMP.ISPEC_210602111311_SPEC_T4
2.5M	TEMP.ISPEC_210602111313_SPEC_T5
 90K	TEMP.ISPEC_210602114332_SPEC_LU
 65K	TEMP.ISPEC_210602114352_SPEC_LT6
 65K	TEMP.ISPEC_210602114404_SPEC_L7
 34M	TEMP.ISPEC_210602121303_SPEC_T4
 15M	TEMP.ISPEC_210602121311_SPEC_T8
 17M	TEMP.ISPEC_210602121313_SPEC_T6
514K	TEMP.ISPEC_210602123750_SPEC_F1
 65K	TEMP.ISPEC_210602124116_SPEC_F3
2.9M	TEMP.ISPEC_210602124800_SPEC_F8
 65K	TEMP.ISPEC_210602130002_SPEC_L2
 65K	TEMP.ISPEC_210602130008_SPEC_L1
 29M	TEMP.ISPEC_210602131305_SPEC_T8
3.5M	TEMP.ISPEC_210602131309_SPEC_T6
 65K	TEMP.ISPEC_210602131319_SPEC_T7
 65K	TEMP.ISPEC_210602134355_SPEC_L3
 65K	TEMP.ISPEC_210602134411_SPEC_LT6
